index,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
75,Leclerc,69,Leclerc Lyon 9e,Leclerc_Lyon_9e, 69009 Lyon , 11 bis rue sidoine Apollinaire 69009 Lyon ,45.774359,4.794881,https://fd5-courses.leclercdrive.fr/magasin-176901-176901-lyon-9e.aspx,http://maps.google.fr/maps?q=45.774359,4.794881
77,Leclerc,69,Leclerc Rochetaillée,Leclerc_Rochetaillée, 69720 Rochetaillée , 705 Chemin de la Plage 69720 Rochetaillée ,45.8352581,4.8377328,https://fd7-courses.leclercdrive.fr/magasin-166903-166903-rochetaillee.aspx,http://maps.google.fr/maps?q=45.8352581,4.8377328
78,Leclerc,69,Leclerc Tarare,Leclerc_Tarare, 69170 Tarare , Boulevard de la Turdine 69170 Tarare ,45.886976,4.460256,https://fd9-courses.leclercdrive.fr/magasin-236901-236901-tarare.aspx,http://maps.google.fr/maps?q=45.886976,4.460256
79,Leclerc,69,Leclerc Vénissieux,Leclerc_Vénissieux, 69200 Vénissieux , Allées des Savoies 69200 Vénissieux ,45.717192,4.859927,https://fd8-courses.leclercdrive.fr/magasin-206901-206901-venissieux.aspx,http://maps.google.fr/maps?q=45.717192,4.859927
80,Leclerc,73,Leclerc Chambéry,Leclerc_Chambéry, 73000 Chambery , 583 avenue des Landiers 73000 Chambery ,45.588688,5.905409,https://fd2-courses.leclercdrive.fr/magasin-027301-027301-chambery.aspx,http://maps.google.fr/maps?q=45.588688,5.905409
81,Leclerc,73,Leclerc Grésy-sur-Aix,Leclerc_Grésy-sur-Aix, 73100 Grésy-sur-Aix , Rue Boucher de la Rupelle 73100 Grésy-sur-Aix ,45.716518,5.921502,https://fd7-courses.leclercdrive.fr/magasin-037302-037302-gresy-sur-aix.aspx,http://maps.google.fr/maps?q=45.716518,5.921502
82,Leclerc,73,Leclerc La Ravoire,Leclerc_La_Ravoire, 73490 La Ravoire , 135 Rue Pierre et Marie Curie 73490 La Ravoire ,45.5666456,5.9675892,https://fd2-courses.leclercdrive.fr/magasin-027302-027302-la-ravoire.aspx,http://maps.google.fr/maps?q=45.5666456,5.9675892
83,Leclerc,73,Leclerc Relais Chambéry,Leclerc_Relais_Chambéry, 73000 Chambery , 17 Place du 8 mai 1945 73000 Chambery ,45.566495,5.921515,https://fd2-courses.leclercdrive.fr/magasin-027303-027303-relais-chambery.aspx,http://maps.google.fr/maps?q=45.566495,5.921515
84,Leclerc,73,Leclerc Voglans,Leclerc_Voglans, 73420 Voglans , Route de l'aéroport 73420 Voglans ,45.63917,5.89083,https://fd7-courses.leclercdrive.fr/magasin-037301-037301-voglans.aspx,http://maps.google.fr/maps?q=45.63917,5.89083
85,Leclerc,21,Leclerc Auxonne,Leclerc_Auxonne, 21130 Auxonne , Avenue Général de Gaulle 21130 Auxonne ,47.18012,5.400622,https://fd13-courses.leclercdrive.fr/magasin-052101-052101-auxonne.aspx,http://maps.google.fr/maps?q=47.18012,5.400622
86,Leclerc,21,Leclerc Beaune,Leclerc_Beaune, 21200 Beaune , 13 Rue Gustave Eiffel 21200 Beaune ,47.041878,4.841323,https://fd14-courses.leclercdrive.fr/magasin-042101-042101-beaune.aspx,http://maps.google.fr/maps?q=47.041878,4.841323
87,Leclerc,21,Leclerc Dijon Capnord,Leclerc_Dijon_Capnord, 21000 Dijon Capnord , 7 rue de Cracovie 21000 Dijon Capnord ,47.3395071,5.066736,https://fd4-courses.leclercdrive.fr/magasin-210301-210301-dijon-capnord.aspx,http://maps.google.fr/maps?q=47.3395071,5.066736
88,Leclerc,21,Leclerc Longvic,Leclerc_Longvic, 21600 Longvic , 4 Rue du Professeur Louis Néel21600 Longvic ,47.289219,5.050749,https://fd11-courses.leclercdrive.fr/magasin-022111-022111-longvic.aspx,http://maps.google.fr/maps?q=47.289219,5.050749
89,Leclerc,21,Leclerc Marsannay-la-Côte  Dijon Sud,Leclerc_Marsannay-la-Côte__Dijon_Sud, 21160 Marsannay la Cote , Parc Acti Sud 21160 Marsannay la Cote ,47.27965,5.01959,https://fd11-courses.leclercdrive.fr/magasin-022101-022101-marsannay-la-cote-dijon-sud.aspx,http://maps.google.fr/maps?q=47.27965,5.01959
90,Leclerc,21,Leclerc Quetigny - Dijon Est,Leclerc_Quetigny_-_Dijon_Est, 21800 Quetigny , 10 Bd de l'Europe 21800 Quetigny ,47.318005,5.094894,https://fd4-courses.leclercdrive.fr/magasin-210311-210311-quetigny---dijon-est.aspx,http://maps.google.fr/maps?q=47.318005,5.094894
